Lokasi Unggulan Kegiatan Jum'at Menanam (JUNA) Tahun 2026,,,0,,,,,,,,,
Dinas Kehutanan Provinsi Jawa Barat,,,,,,,,,,,,
,,,,,,,,,,,,
No,Unit Kerja,Kabupaten/Kota,Kecamatan,Desa/Kelurahan,Blok,DAS,Sub DAS,Titik Koordinat (x),Titik Koordinat (Y),Luas Rencana Penanaman  (Ha),Panjang Rencana Penanaman (Km),Keterangan
1,CDK Wilayah I,Kabupaten Bogor,Cisarua,Tugu Utara,Cikoneng,Ciliwung,Cisarua,"-6,7027300","106,9787800",,2,Green belt Desa Tugu Utara
2,CDK Wilayah I,Kota Bogor,Bogor Utara,Tegal Gundil,Tegal Gundil,Ciliwung,Ciliwung,"-6,5783190","106,8142790",1,"0,3",SMA 7 Kota Bogor
3,CDK Wilayah I,Kabupaten Bekasi,Setu,Tamansari,Ciledug,Bekasi,Situ Burangkeng,"-6,3613500","107,0386500",1,"0,3",Hutan Kota Bekasi Eduforest
4,CDK Wilayah I,Kota Bekasi,Bantar Gebang,Ciketing Udik,Jl. Gg Kecapi,Ciliwung,Kali Bekasi,"-6,3530300","106,9857500","0,04","0,02",Bantar Gebang
5,CDK Wilayah I,Kota Depok,Cisalak,Sukmajaya,Cisalak,Ciliwung,Ciliwung Tengah,"-6,3861800","106,8625400",3,"0,5",Universitas islam Internasional Indonesia
6,CDK Wilayah II,Kabupaten Purwakarta,Sukatani,Cianting,Gunungcupu,Citarum,Cilalawi,"-6,6330300","107,4032500",4,,Gunungcupu
7,CDK Wilayah II,Kabupaten Karawang,Karawang Barat,Karangpawitan,Kampus Poltek KP,Citarum,,"-6,2840170","107,3033570",6,,Politeknik Kelautan dan Perikanan Karawang
8,CDK Wilayah II,Kabupaten Subang,Jalancagak,Jalancagak,Batu Korsi ,Citarum,Cileuleuy,"-6,8605150","107,8647420",6,,Eks Galian C (Batu) dan Kakija Lingkar Jalancagak (PTPN) 
9,CDK Wilayah III,Kabupaten Sukabumi,Cicantayan,Cicantayan,Cibiru,Cimandiri,Cicatih,"-6,9234110","106,8491630","2,08","2,08",Green belt pasir manggu 
10,CDK Wilayah III,Kota Sukabumi,Cibeureum,Babakan,Selakaso,Cimandiri,Cisuda,"-6,9456640","106,9515820",,2,Kakija dan Taman  (Jalan Lingkar Selatan)
11,CDK Wilayah III,Kota Sukabumi,Cikole,Cisarua,Babakanjampang,Cimandiri,Cimandiri hulu,"-6,9096620","106,9399240",1,,
12,CDK Wilayah IV,Kabupaten Cianjur,Sukaresmi,Pakuon,Cikanyere,,,"-6,7448720","107,0621650",,,
13,CDK Wilayah IV,Kabupaten Bandung Barat,Lembang,Cibogo,Ciburial,Citarum,Cikapundung,"-6,8071060","107,6284380",,"0,2",Greenbelt Cibogo
14,CDK Wilayah IV,Kota Cimahi,Cimahi Selatan,Leuwigajah,Cireundeu pojok,,,-,,,,
15,CDK Wilayah V,Kabupaten Garut,Karang Pawitan,Godog,Kawung,Cimanuk,,"-7,2335220","107,9550830",,,
16,CDK Wilayah V,Kabupaten Bandung,Cimenyan,Cimenyan,Pasanggrahan,Citarum,Cikapundung-Cipamokolan,"-6,8576020","107,6778630",,2,Green belt pasir manggu 
17,CDK Wilayah V,Kota Bandung,Hutan Kehati,,Kota Bandung ,,,,,,,
18,CDK Wilayah VI,Kabupaten Tasikmalaya,Pagerageung,Sukapada,Bojot,Citanduy,Cikidang,"7,1105000","108,1517000",2,-,Areal bukan Greenbelt namun lokasinya mengelompok
19,CDK Wilayah VI,Kabupaten Tasikmalaya,Kadipaten,Mekarsari,Curug Cikadu,Citanduy,Cikidang,"7,1352620","108,1234550",2,-,Areal bukan Greenbelt namun lokasinya mengelompok
20,CDK Wilayah VI,Kota Tasikmalaya,,,,,,,,,,
21,CDK Wilayah VII,Kabupaten Ciamis,Cikoneng,Gegempalan,gareumpay,citanduy,cireong,"-7,3300410","108,2887810",1.5,,Tanah Desa
22,CDK Wilayah VII,Kabupaten Pangandaran,Sidamulih,Sukaresik,Karangtirta,Cikembulan,Citonjong,"-7,6807100","108,5919230",2,2,Sempadan muara Karangtirta/ Kakisu
23,CDK Wilayah VII,Kota Banjar,Langensari,Langensari,Sport Center Langensari,Citanduy,Citanduy,"-7,3507870","108,5344080","0,5",,Tanah Pemkot Banjar
24,CDK Wilayah VIII,Kabupaten Kuningan,Pasawahan,Padabeunghar,Batu sepur,Cisanggarung,Ciwaringin,"-6,8068430","108,4052150",30,,kegiatan jaga leuweung di gunung Ciremai
25,CDK Wilayah VIII,Kabupaten Majalengka,,,,,,,,,,
26,CDK Wilayah VIII,Kabupaten Cirebon,,,,,,,,,,
27,CDK Wilayah VIII,Kota Cirebon,,,,,,,,,,
28,CDK Wilayah IX,Kabupaten Sumedang,Cisitu,Cigintung,Cipipisan,Cimanuk,Cipeles,"-6,8499047","108,0632399",3,,Greenbelt Jatigede
29,CDK Wilayah IX,Kabupaten Indramayu,Gantar,Mekarwaru,Bukit Benggala,Citarum,Cipunagara,"-6,5918850","107,9090691",2,,Areal Perhutanan Sosial